Title;Company;Address;Date;Type;Experience
Senior Software Tester (Manual and Automation)                                                      ;FlairsTech                                                                                          ;Maadi, Cairo, Egypt                                                                                 ;2021-12-28                                                                                          ;Work From Home                                                                                      ;3+ Yrs of Exp                                                                                       
Full Stack Developer                                                                                ;Dafater                                                                                             ;Heliopolis, Cairo, Egypt                                                                            ;2021-12-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
BI Team Lead                                                                                        ;Excel Systems                                                                                       ;6th of October, Giza, Egypt                                                                         ;2021-12-03                                                                                          ;Work From Home                                                                                      ;5+ Yrs of Exp                                                                                       
Linux Administrator(Remote)                                                                         ;ServerHub                                                                                           ;Dallas, United States                                                                               ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 15 Yrs of Exp                                                                                   
PHP Backend Developer                                                                               ;Restart Technology                                                                                  ;Heliopolis, Cairo, Egypt                                                                            ;2021-12-03                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
Senior React Native Developer (Remote)                                                              ;skora tech                                                                                          ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 7 Yrs of Exp                                                                                    
Tech Lead Full Stack Software Engineer                                                              ;Ctopya                                                                                              ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Work From Home                                                                                      ;5+ Yrs of Exp                                                                                       
NodeJS Backend Developer                                                                            ;Rytalo                                                                                              ;Obour City, Cairo, Egypt                                                                            ;2021-12-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Software Test Automation Engineer                                                                   ;FaceGraph                                                                                           ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Odoo Developer                                                                                      ;E3mel Business for Financial & Managerial Consultancy                                               ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Work From Home                                                                                      ;1 - 3 Yrs of Exp                                                                                    
Sr.DevOps Engineer                                                                                  ;Ctopya                                                                                              ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
Senior Software Developer                                                                           ;Smartera 3S                                                                                         ;Alexandria, Egypt                                                                                   ;2021-12-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Senior Devops Engineer                                                                              ;Andela                                                                                              ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 8 Yrs of Exp                                                                                    
Senior Full Stack Developer (NodeJS/React)                                                          ;Standout Solutions                                                                                  ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Senior Devops Engineer                                                                              ;A1Softech                                                                                           ;Nasr City, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;4 - 5 Yrs of Exp                                                                                    
System Administrator                                                                                ;3D Diagnostix                                                                                       ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Freelance / Project                                                                                 ;2 - 4 Yrs of Exp                                                                                    
Odoo Developer                                                                                      ;Spectrum For Information System                                                                     ;Katameya, Cairo, Egypt                                                                              ;2021-12-03                                                                                          ;Work From Home                                                                                      ;1 - 3 Yrs of Exp                                                                                    
Senior Business Analyst -Remote                                                                     ;United Tires                                                                                        ;Chicago, United States                                                                              ;2021-12-03                                                                                          ;Full Time                                                                                           ;5 - 20 Yrs of Exp                                                                                   
Full Stack Developer (Python/React) -Fluent English                                                 ;Fekra Technology Solutions and Construction                                                         ;Dokki, Giza, Egypt                                                                                  ;2021-11-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
Python Developer Ecommerce ERP System (Odoo) - Fluent English                                       ;Fekra Technology Solutions and Construction                                                         ;Dokki, Giza, Egypt                                                                                  ;2021-11-03                                                                                          ;Work From Home                                                                                      ;3 - 5 Yrs of Exp                                                                                    
Python Developer- Fluent English                                                                    ;Fekra Technology Solutions and Construction                                                         ;Dokki, Giza, Egypt                                                                                  ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
DevOps & Cloud Engineer                                                                             ;RDI                                                                                                 ;Giza, Giza, Egypt                                                                                   ;2021-12-03                                                                                          ;Work From Home                                                                                      ;1 - 3 Yrs of Exp                                                                                    
Senior Java Developer / Software Engineer                                                           ;Egybell                                                                                             ;Nasr City, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Odoo Developer                                                                                      ;Bishop Integrated Solutions                                                                         ;Glim, Alexandria, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;1 - 3 Yrs of Exp                                                                                    
Rigging Artist                                                                                      ;Confidential                                                                                        ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;Entry Level                                                                                         
Linux System Administrator                                                                          ;Softxpert Incorporation                                                                             ;Alexandria, Egypt                                                                                   ;2021-12-03                                                                                          ;Part Time                                                                                           ;2 - 4 Yrs of Exp                                                                                    
Devops Engineer - Software Development                                                              ;Rasan                                                                                               ;Nasr City, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Part Time                                                                                           ;2 - 6 Yrs of Exp                                                                                    
Senior Software Developer                                                                           ;Confidential                                                                                        ;Downtown, Cairo, Egypt                                                                              ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 3 Yrs of Exp                                                                                    
Sr. Front End Developer                                                                             ;Confidential                                                                                        ;Downtown, Cairo, Egypt                                                                              ;2021-11-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
Data Scientist                                                                                      ;Ibn Sina Pharma                                                                                     ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;1 - 3 Yrs of Exp                                                                                    
Linux Systems Administrator                                                                         ;Tqnia IT                                                                                            ;New Cairo, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Work From Home                                                                                      ;2+ Yrs of Exp                                                                                       
Senior Java Back-End Developer (Remote)                                                             ;skora tech                                                                                          ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 7 Yrs of Exp                                                                                    
Full Stack Developer (NodeJs - ReactJs)                                                             ;Talents Arena                                                                                       ;Smart Village, Giza, Egypt                                                                          ;2021-11-03                                                                                          ;Work From Home                                                                                      ;1 - 3 Yrs of Exp                                                                                    
Senior Linux System Engineer                                                                        ;Link Datacenter                                                                                     ;Dokki, Giza, Egypt                                                                                  ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Junior IT Specialist                                                                                ;Jessour Misr                                                                                        ;Abu Rawash, Giza, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;1 - 2 Yrs of Exp                                                                                    
Software Support Engineer - Cairo                                                                   ;Confidential                                                                                        ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
Java Developer                                                                                      ;Icity                                                                                               ;Maadi, Cairo, Egypt                                                                                 ;2021-11-03                                                                                          ;Full Time                                                                                           ;1 - 5 Yrs of Exp                                                                                    
Senior Technical Architect - Cloud                                                                  ;Unifonic                                                                                            ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;10 - 15 Yrs of Exp                                                                                  
QA Engineer                                                                                         ;knack ltd                                                                                           ;Abu Dhabi, United Arab Emirates                                                                     ;2021-11-03                                                                                          ;Work From Home                                                                                      ;2 - 8 Yrs of Exp                                                                                    
Data Quality Assurance Analyst Engineer                                                             ;Z2 Data                                                                                             ;Banha, Qalubia, Egypt                                                                               ;2021-11-03                                                                                          ;Full Time                                                                                           ;0 - 1 Yrs of Exp                                                                                    
Azure Support Engineer                                                                              ;Alnafitha                                                                                           ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Work From Home                                                                                      ;3 - 5 Yrs of Exp                                                                                    
Senior Odoo Developer - Giza                                                                        ;Ejadtech                                                                                            ;Dokki, Giza, Egypt                                                                                  ;2021-12-03                                                                                          ;Full Time                                                                                           ;4 - 5 Yrs of Exp                                                                                    
Senior DevOps Engineer                                                                              ;ExaServe LLC                                                                                        ;Heliopolis, Cairo, Egypt                                                                            ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Principal DevOps Engineer                                                                           ;A1Softech                                                                                           ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;5 - 10 Yrs of Exp                                                                                   
Odoo Specialist - Cairo                                                                             ;Collars HR                                                                                          ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;1 - 3 Yrs of Exp                                                                                    
Senior Data Analyst                                                                                 ;Future Group                                                                                        ;Mohandessin, Giza, Egypt                                                                            ;2021-12-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
DevOps: Site Reliability Engineer/ Support Engineer                                                 ;Cegedim                                                                                             ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Work From Home                                                                                      ;2+ Yrs of Exp                                                                                       
Sr. System Engineer                                                                                 ;Teqneyat                                                                                            ;Mohandessin, Giza, Egypt                                                                            ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 4 Yrs of Exp                                                                                    
Senior DevOps Engineer                                                                              ;Cegedim                                                                                             ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;5 - 10 Yrs of Exp                                                                                   
Applied Machine Learning Engineer / Computer Vision Scientist                                       ;412labs.com                                                                                         ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;4+ Yrs of Exp                                                                                       
Odoo Developer                                                                                      ;Dimofinf Operations Center                                                                          ;Nasr City, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
Blockchain developer                                                                                ;MENA Alliances                                                                                      ;Hebron, Palestine                                                                                   ;2021-12-03                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
ERP Next Developer                                                                                  ;Sekem                                                                                               ;Salam City, Cairo, Egypt                                                                            ;2021-12-03                                                                                          ;Work From Home                                                                                      ;3 - 5 Yrs of Exp                                                                                    
Computer Science Instructor (Game development)                                                      ;iSchool                                                                                             ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;0 - 5 Yrs of Exp                                                                                    
Senior Data Scientist                                                                               ;Talenter                                                                                            ;Giza, Egypt                                                                                         ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
Odoo Developer                                                                                      ;Albassami International Group                                                                       ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Work From Home                                                                                      ;2 - 4 Yrs of Exp                                                                                    
Odoo Developer                                                                                      ;Peerless                                                                                            ;Mohandessin, Giza, Egypt                                                                            ;2021-12-03                                                                                          ;Full Time                                                                                           ;1 - 3 Yrs of Exp                                                                                    
Software Developer                                                                                  ;Everlast                                                                                            ;Heliopolis, Cairo, Egypt                                                                            ;2021-12-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Back-End Developer                                                                                  ;Everlast                                                                                            ;Heliopolis, Cairo, Egypt                                                                            ;2021-12-03                                                                                          ;Work From Home                                                                                      ;4 - 6 Yrs of Exp                                                                                    
DevOps Engineer                                                                                     ;Fawry Banking & Payment Technology Services                                                         ;6th of October, Giza, Egypt                                                                         ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 4 Yrs of Exp                                                                                    
Teachnical Leader                                                                                   ;Unvc                                                                                                ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;3 - 8 Yrs of Exp                                                                                    
Functional Testing Engineer                                                                         ;Ejada (Cairo)                                                                                       ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;6+ Yrs of Exp                                                                                       
Devops Engineer                                                                                     ;Techno-Ways                                                                                         ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Senior GIS Engineer                                                                                 ;Interact Technology Solutions                                                                       ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
IT Infrastructure Developer                                                                         ;Quality unit                                                                                        ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 4 Yrs of Exp                                                                                    
Junior Infrastructure Software Engineer                                                             ;Quality unit                                                                                        ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;0 - 3 Yrs of Exp                                                                                    
DevOps Engineer                                                                                     ;Confidential                                                                                        ;Dubai, United Arab Emirates                                                                         ;2021-12-03                                                                                          ;Work From Home                                                                                      ;4 - 10 Yrs of Exp                                                                                   
Full Stack Developer                                                                                ;MEAPAL                                                                                              ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Full Time                                                                                           ;0 - 3 Yrs of Exp                                                                                    
Full Stack developer                                                                                ;eSmartSoft                                                                                          ;Heliopolis, Cairo, Egypt                                                                            ;2021-12-03                                                                                          ;Work From Home                                                                                      ;0 - 3 Yrs of Exp                                                                                    
Web Developer                                                                                       ;Engosoft                                                                                            ;Nasr City, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Senior Front-end Web Developer                                                                      ;eSmartSoft                                                                                          ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;4 - 8 Yrs of Exp                                                                                    
Cloud Solution Architect - R&D                                                                      ;Link Datacenter                                                                                     ;Dokki, Giza, Egypt                                                                                  ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 4 Yrs of Exp                                                                                    
Systems Analyst                                                                                     ;Confidential                                                                                        ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 4 Yrs of Exp                                                                                    
Junior Data warehouse engineer / Data Engineer                                                      ;360Imaging                                                                                          ;Dokki, Giza, Egypt                                                                                  ;2021-12-03                                                                                          ;Full Time                                                                                           ;1 - 3 Yrs of Exp                                                                                    
Odoo Developer - Remotely (Urgently)                                                                ;Confidential                                                                                        ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;1 - 5 Yrs of Exp                                                                                    
Junior R&D Software Engineer - .NET                                                                 ;AGI                                                                                                 ;6th of October, Giza, Egypt                                                                         ;2021-12-03                                                                                          ;Full Time                                                                                           ;1 - 3 Yrs of Exp                                                                                    
Software Projects Delivery Lead                                                                     ;Smartera 3S                                                                                         ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;10+ Yrs of Exp                                                                                      
Devops Engineer                                                                                     ;EXALT Technologies                                                                                  ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Part Time                                                                                           ;1 - 5 Yrs of Exp                                                                                    
Junior Software Developer                                                                           ;Target Recruitment & HR Solutions                                                                   ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Work From Home                                                                                      ;1+ Yrs of Exp                                                                                       
Senior Penetration Tester                                                                           ;Union Coop                                                                                          ;Dokki, Giza, Egypt                                                                                  ;2021-11-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Odoo Senior Developer                                                                               ;Minds solutions                                                                                     ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Data Science Instructor                                                                             ;EpsilonAI                                                                                           ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;1+ Yrs of Exp                                                                                       
Senior R&D software Engineer - .NET                                                                 ;AGI                                                                                                 ;6th of October, Giza, Egypt                                                                         ;2021-11-03                                                                                          ;Part Time                                                                                           ;4 - 5 Yrs of Exp                                                                                    
Senior Software Engineer - Full Stack (100% Remote)                                                 ;Anoma Tech USA                                                                                      ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;5 - 7 Yrs of Exp                                                                                    
DevOps Engineer                                                                                     ;almentor                                                                                            ;Maadi, Cairo, Egypt                                                                                 ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 4 Yrs of Exp                                                                                    
Senior Odoo Implementer                                                                             ;Unity                                                                                               ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Work From Home                                                                                      ;3+ Yrs of Exp                                                                                       
Senior DevOps Engineer                                                                              ;EgyProTech                                                                                          ;Maadi, Cairo, Egypt                                                                                 ;2021-11-03                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
Technical Consultant                                                                                ;FlairsTech                                                                                          ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Odoo Developer                                                                                      ;Yodawy                                                                                              ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Work From Home                                                                                      ;2 - 4 Yrs of Exp                                                                                    
System Administrator IT                                                                             ;Tartoussieh for Engineering                                                                         ;Bourj Alarab, Alexandria, Egypt                                                                     ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 3 Yrs of Exp                                                                                    
Senior Odoo Developer                                                                               ;Confidential                                                                                        ;Dokki, Giza, Egypt                                                                                  ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
Senior Business Analyst                                                                             ;Target Recruitment & HR Solutions                                                                   ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;5 - 8 Yrs of Exp                                                                                    
ETL Developer                                                                                       ;Dataplus                                                                                            ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Odoo Developer                                                                                      ;Pan Marine Group                                                                                    ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 4 Yrs of Exp                                                                                    
Full Stack Developer                                                                                ;Alternative Education                                                                               ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 4 Yrs of Exp                                                                                    
App Developer                                                                                       ;Recovery franchise marketing services                                                               ;6th of October, Giza, Egypt                                                                         ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 10 Yrs of Exp                                                                                   
BI Consultant                                                                                       ;Dataplus                                                                                            ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Senior RPA Developer (.Net)                                                                         ;SmartTech Systems                                                                                   ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Big Data Developer                                                                                  ;Path-Solutions                                                                                      ;Maadi, Cairo, Egypt                                                                                 ;2021-11-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
Mid-Level Developer / REST API / Microservices - UK Team - (Alexandria)                             ;Procrew                                                                                             ;San Stefano, Alexandria, Egypt                                                                      ;2021-11-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Devops Engineer                                                                                     ;Confidential                                                                                        ;New Cairo, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
