Title;Company;Address;Date;Type;Experience
Scrum Master                                                                                        ;RDI                                                                                                 ;Dokki, Giza, Egypt                                                                                  ;2021-12-03                                                                                          ;Shift Based                                                                                         ;3+ Yrs of Exp                                                                                       
Smart Manufacturing Engineer - Alexandria                                                           ;Prometeon Tyres Group – Egypt (Ex-Pirelli Tyres Egypt)                                              ;Ameria, Alexandria, Egypt                                                                           ;2021-12-03                                                                                          ;Full Time                                                                                           ;0 - 3 Yrs of Exp                                                                                    
Mid-Senior Level Front-End Software Developer (Remote)                                              ;skora tech                                                                                          ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
Production Engineer - PVC Pipes                                                                     ;Misr Elhegaz Group                                                                                  ;10th of Ramadan City, Sharqia, Egypt                                                                ;2021-11-03                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
Senior RPA Developer (.Net)                                                                         ;SmartTech Systems                                                                                   ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Work From Home                                                                                      ;3 - 5 Yrs of Exp                                                                                    
Remotely for UK (Project Management / Lead Developer)                                               ;Mobile Wave 3                                                                                       ;Nasr City, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;7 - 10 Yrs of Exp                                                                                   
Social Media Specialist                                                                             ;Beyond Apps Group                                                                                   ;Nasr City, Cairo, Egypt                                                                             ;2021-12-29                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
Data Management & Analytics Consultant - ETL & BI                                                   ;Ejada (Cairo)                                                                                       ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;5 - 10 Yrs of Exp                                                                                   
Junior R&D Software Engineer - .NET                                                                 ;AGI                                                                                                 ;6th of October, Giza, Egypt                                                                         ;2021-12-03                                                                                          ;Full Time                                                                                           ;1 - 3 Yrs of Exp                                                                                    
System Engineer                                                                                     ;axispay                                                                                             ;Downtown, Cairo, Egypt                                                                              ;2021-12-03                                                                                          ;Full Time                                                                                           ;4 - 5 Yrs of Exp                                                                                    
R&D Electrical/Electronic Engineer                                                                  ;Elaraby Group                                                                                       ;Banha, Qalubia, Egypt                                                                               ;2021-12-03                                                                                          ;Full Time                                                                                           ;0 - 2 Yrs of Exp                                                                                    
Senior Software Development Consultant                                                              ;Flint                                                                                               ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;7 - 15 Yrs of Exp                                                                                   
Senior R&D software Engineer - .NET                                                                 ;AGI                                                                                                 ;6th of October, Giza, Egypt                                                                         ;2021-11-03                                                                                          ;Full Time                                                                                           ;4 - 5 Yrs of Exp                                                                                    
Senior Software Developer                                                                           ;Target Recruitment & HR Solutions                                                                   ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 6 Yrs of Exp                                                                                    
Senior Full Stack Developer (Spring - Angular)                                                      ;A1Softech                                                                                           ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
